ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,icao_code,iata_code
16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,US,Nunapitchuk,PPIT,NUP
7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,US,Tatitlek,PAKA,TEK
9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,US,Chuathbaluk,PACH,CHU
AAD,small_airport,Adado Airport,6.095802,46.6375,1001,SO,Adado,HCAD,AAD
AE-0001,small_airport,Batha Airport,24.214693,51.44989,257,SA,Batha,OEBT,
AE-0026,small_airport,Al Qaffay Airport,24.58956,51.727293,21,AE,Al Qaffay,OMQF,
AE-0091,small_airport,Lower Yasat Island Airport,24.18884,51.99655,,AE,Al-Yasat,OMAY,
AE-0128,small_airport,Liwa Air Base,23.65128,53.82444,422,AE,Zayed City,OMLW,
AE-0221,medium_airport,Sas Al Nakheel Air Base,24.44128,54.51696,14,AE,Sas Al Nakheel,OMNK,
AF-0020,small_airport,Andkhoy Airport,36.942659,65.206746,900,AF,Andkhoy,OAAK,
AF-0021,small_airport,Logar Airport,33.9865,69.023102,6333,AF,,OALG,
AF-0023,small_airport,Muqur Airport,32.879601,67.848602,6600,AF,Muqur,OAMK,
AF-0024,small_airport,Panjab Airport,34.391726,67.020445,8800,AF,Panjab,OAPJ,
AF-0025,small_airport,Taywarah Airport,33.54309,64.42542,7370,AF,Taywarah,OATW,
AG-0001,medium_airport,Burton-Nibbs International Airport,17.621194,-61.798347,28,AG,Codrington,TAPB,BBQ
AGAF,small_airport,Afutara Aerodrome,-9.191389,160.948611,23,SB,Bila,AGAF,AFT
AGAR,small_airport,Ulawa Airport,-9.86054358262,161.979546547,40,SB,Arona,AGAR,RNA
AGAT,small_airport,Uru Harbour Airport,-8.87333,161.011002,,SB,Atoifi,AGAT,ATD
AGBA,small_airport,Barakoma Airport,-7.912779808044434,156.70599365234375,,SB,Barakoma,AGBA,VEV
AGBT,small_airport,Batuna Aerodrome,-8.56202777778,158.119305556,24,SB,Batuna Mission Station,AGBT,BPF
AGEV,small_airport,Geva Airport,-7.575829982757568,156.5970001220703,,SB,Liangia,AGEV,GEF
AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5,SB,Auki,AGGA,AKS
AGGB,small_airport,Bellona/Anua Airport,-11.302222222200001,159.798333333,60,SB,Anua,AGGB,BNY
AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,SB,Choiseul Bay,AGGC,CHY
AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,SB,Ballalae,AGGE,BAS
AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,9,SB,Fera Island,AGGF,FRE
AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,SB,Honiara,AGGH,HIR
AGGI,small_airport,Babanakira Airport,-9.7475,159.839005,,SB,Mbambanakira,AGGI,MBU
AGGJ,small_airport,Avu Avu Airport,-9.868333,160.410556,25,SB,Avu Avu,AGGJ,AVU
AGGK,small_airport,Ngorangora Airport,-10.449700355500001,161.897994995,54,SB,Kirakira,AGGK,IRA
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,18,SB,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ
AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,SB,Munda,AGGM,MUA
AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13,SB,Gizo,AGGN,GZO
AGGO,small_airport,Mono Airport,-7.41694,155.565002,35,SB,Stirling Island,AGGO,MNY
AGGP,small_airport,Parasi Airport,-9.641670227050781,161.4250030517578,,SB,Parasi,AGGP,PRS
AGGR,small_airport,Rennell/Tingoa Airport,-11.55,160.062778,550,SB,Rennell Island,AGGR,RNL
AGGS,small_airport,Sege Airport,-8.57889,157.876007,,SB,Sege,AGGS,EGM
AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3,SB,Santa Ana Island,AGGT,NNB
AGGU,small_airport,Marau Airport,-9.86167,160.824997,3,SB,Marau,AGGU,RUS
AGGV,small_airport,Suavanao Airport,-7.58556,158.731003,20,SB,Suavanao,AGGV,VAO
AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60,SB,Yandina,AGGY,XYA
AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30,SB,Kagau Island,AGKG,KGE
AGKU,small_airport,Kukudu Airport,-8.0262,156.94783,32,SB,Kolombangara Island,AGKU,KUE
AGKW,small_airport,Kwailabesi Airport,-8.360508,160.775127,52,SB,Kwailabesi,AGKW,KWS
AGLM,small_airport,Lomlom Airport,-10.296828,166.327322,55,SB,Lomlom,AGLM,LLM
AGNA,small_airport,Nana Airport,-10.6758,162.2049,60,SB,Star Harbor,AGNA,NAZ
AGOB,small_airport,Manaoba Airport,-8.325008,160.80051,14,SB,Manaoba,AGOB,MHM
AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.202836,70,SB,Gatokae,AGOK,GTA
AGRC,small_airport,Ringi Cove Airport,-8.12639045715332,157.14300537109375,,SB,Ringi Cove,AGRC,RIN
AGRM,small_airport,Ramata Airport,-8.168060302734375,157.64300537109375,,SB,Ramata,AGRM,RBV
AM-0001,small_airport,Syunik Airport,39.202272,46.455204,2308,AM,Kapan,UDCK,YUK
AMY,small_airport,Ambatomainty Airport,-17.686667,45.623889,1025,MG,,FMMB,AMY
ANYN,medium_airport,Nauru International Airport,-0.547893,166.919525,22,NR,Yaren,ANYN,INU
AO-0067,small_airport,Lumbala Airstrip,-12.638947,22.589028,3510,AO,Lumbala,FNLM,
AO-0074,small_airport,Huambo Airport,-12.786306,15.774528,5443,AO,Huambo,FNNL,
AR-0744,medium_airport,Chamical Airport,-30.345303,-66.294072,1502,AR,Gobernador Gordillo,SACT,
AU-0081,small_airport,Lady Elliot Island Airstrip,-24.1129,152.7156,20,AU,Lady Elliot Island,YLTT,LYT
AU-0264,small_airport,Skardon River Airport,-11.866259,142.008762,29,AU,Mapoon,YSKR,
AU-0456,small_airport,Gruyere Airport,-28.034548,123.81506,1542,AU,Cosmo Newbery,YGRM,GYZ
AU-0490,small_airport,Packsaddle Airport,-30.29424,142.13758,342,AU,Packsaddle,YPAS,
AU-0539,large_airport,Western Sydney International (Nancy-Bird Walton) Airport,-33.883461,150.712981,262,AU,Sydney,YSWS,WSI
AU-0565,small_airport,Moora Airport,-30.684896,115.982059,659,AU,Moora,YMRO,
AU-0627,small_airport,Cranbourn Airfield,-41.161173,147.015096,300,AU,Mount Direction,YCRN,
AU-0748,small_airport,Oakden Hills Airport,-31.66598,137.0361,308,AU,Oakden Hills,YOKH,
AU-0771,small_airport,Wirraminna Airport,-31.19277,136.21988,446,AU,Wirraminna,YWIR,
AU-0783,small_airport,JDandBoo,-37.85774,146.91748,380,AU,Boisdale,YJBO,
AU-0785,small_airport,Woodstock Station,-19.358723,142.756948,,AU,,YWSN,
AU-0796,medium_airport,Nackeroo Airfield,-15.578026,130.475993,,AU,,YNKR,
AU-KBD,small_airport,Kimberley Downs Airport,-17.398577,124.355565,196,AU,Kimberley Downs,YKBS,KBD
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.748317,105.58416,4560,CN,Bayanhot,ZBAL,AXF
AYAA,small_airport,Ama Airport,-4.10111111111,141.67,145,PG,,AYAA,AMF
AYAE,small_airport,Mount Aue Airport,-6.229978,144.664181,4250,PG,Aue,AYAE,UAE
AYAF,small_airport,Afore Airstrip,-9.13867,148.390701,2500,PG,Afore,AYAF,AFR
AYAG,small_airport,Agaun Airport,-9.927715,149.389951,3200,PG,Agaun,AYAG,AUP
AYAI,small_airport,Aitape Airport,-3.143611,142.346806,10,PG,Aitape,AYAI,ATP
AYAK,small_airport,Aiambak Airport,-7.342777777779999,141.2675,90,PG,Aiambak,AYAK,AIH
AYAM,small_airport,Amanab Airport,-3.586,141.214333333,1307,PG,Amanab,AYAM,AMU
AYAN,small_airport,Andakombe Airport,-7.13722222222,145.744722222,3600,PG,Andekombe,AYAN,ADC
AYAO,small_airport,Aiome Airport,-5.145699978,144.7307003,350,PG,Aiome,AYAO,AIE
AYAQ,small_airport,Kompiam Airport,-5.38166666667,143.924722222,5100,PG,,AYAQ,KPM
AYAT,small_airport,Ambunti Airport,-4.21566666667,142.823166667,50,PG,Ambunti,AYAT,AUJ
AYAU,small_airport,Arou Airstrip,-5.4951,142.5137,4830,PG,Arou,AYAU,
AYAW,small_airport,Awaba Airport,-8.013414,142.752099,32,PG,Awaba,AYAW,AWB
AYAX,small_airport,Aseki Airport,-7.350805,146.193994,4106,PG,Aseki,AYAX,AEK
AYAY,small_airport,Aiyura Airport,-6.33805555556,145.904166667,5355,PG,Aiyura Valley,AYAY,AYU
AYBA,medium_airport,Baimuru Airport,-7.496955,144.821756,27,PG,Baimuru,AYBA,VMU
AYBC,small_airport,Bambu Airport,-5.863611111110001,146.4925,6790,PG,Bambu,AYBC,BCP
AYBD,small_airport,Bodinumu Airport,-9.107777777779999,147.666722222,3700,PG,Bodinumu,AYBD,BNM
AYBF,small_airport,Bamu Airport,-7.8485,143.2433,50,PG,Bamu,AYBF,BMZ
AYBG,small_airport,Baindoung Airport,-6.34722222222,146.942222222,4400,PG,,AYBG,BDZ
AYBH,small_airport,Bensbach Airport,-8.85805555556,141.259444444,30,PG,Bensbach,AYBH,BSP
AYBI,small_airport,Bewani Airport,-3.0216666666700003,141.165277778,550,PG,Bewani,AYBI,BWP
AYBK,medium_airport,Buka Airport,-5.422299,154.672698,11,PG,Buka Island,AYBK,BUA
AYBL,small_airport,Bialla Airport,-5.3305602073700005,151.007995605,51,PG,"Bialla, Matalilu, Ewase",AYBL,BAA
AYBM,medium_airport,Balimo Airport,-8.05000019073,142.932998657,51,PG,Balimo,AYBM,OPU
AYBO,small_airport,Bomai Airport,-6.37316666667,144.637,3300,PG,Bomai,AYBO,BMH
AYBP,small_airport,Bapi Airstrip,-7.743611111110001,147.020555556,2930,PG,Bapi,AYBP,BPD
AYBQ,small_airport,Biangabip Airport,-5.526389,141.744583,1069,PG,Biangabip,AYBQ,BPK
AYBR,small_airport,Biaru Airport,-7.6693,146.7594,4900,PG,Biaru,AYBR,BRP
AYBS,small_airport,Begesin Airstrip,-5.388248,145.447394,980,PG,Begesin,AYBS,
AYBT,small_airport,Batri Airstrip,-6.551861,143.943905,4510,PG,Batri,AYBT,
AYBU,small_airport,Bulolo Airport,-7.216286671410001,146.649541855,2240,PG,Bulolo,AYBU,BUL
AYBY,small_airport,Wuyabo Airstrip,-6.838474,145.873207,6400,PG,Wuyabo,AYBY,
AYBZ,small_airport,Biniguni Airport,-9.6425,149.303889,215,PG,Biniguni,AYBZ,XBN
AYCB,small_airport,Chungribu Airport,-4.80662,144.714996,108,PG,Chungribu,AYCB,CVB
AYCG,small_airport,Cape Gloucester Airport,-5.455231,148.422289,78,PG,Cape Gloucester,AYCG,CGC
AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974,PG,Kundiawa,AYCH,CMU
AYCN,small_airport,Changriwa Airstrip,-4.328652,143.74058,100,PG,Changriwa,AYCN,
AYCS,small_airport,China Strait Airstrip,-10.5627777778,150.690694444,10,PG,Samarai Island,AYCS,SQT
AYDB,small_airport,Debepare Airport,-6.30861111111,141.905555556,360,PG,Debepare,AYDB,DBP
AYDD,small_airport,Dobu Airstrip,-6.6305,144.6383,3115,PG,Dobu,AYDD,
AYDE,small_airport,Derim Airport,-6.14472222222,147.107222222,4850,PG,Derim,AYDE,DER
AYDI,small_airport,Bundi Airport,-5.742222222220001,145.2275,4400,PG,Bundi,AYDI,BNT
AYDK,small_airport,Munduku Airport,-4.6204,143.4516,100,PG,Munduku,AYDK,MDM
AYDL,small_airport,Kondobol Airport,-8.5336,142.5049,132,PG,Kondobol,AYDL,KPF
AYDN,small_airport,Dinangat Airport,-6.1546,146.6772,5309,PG,Dinangat,AYDN,DNU
AYDO,small_airport,Doini Airport,-10.7009,150.7218,31,PG,Castori Islets,AYDO,DOI
AYDP,small_airport,Tsendiap Airstrip,-5.3599,144.4462,1565,PG,Tsendiap,AYDP,
AYDQ,small_airport,Dimisisi Airstrip,-8.6298,142.2162,166,PG,Dimisisi,AYDQ,
AYDR,small_airport,Dorobisoro Airport,-9.461855,147.920907,1767,PG,Dorobisoro,AYDR,DOO
AYDS,small_airport,Dusin Airport,-5.183863,144.41217,6300,PG,Dusin,AYDS,
AYDU,medium_airport,Daru Airport,-9.08676,143.207993,20,PG,Daru,AYDU,DAU
AYDW,small_airport,Dewara Airstrip,-8.3802,142.4475,25,PG,Dewara,AYDW,
AYDY,small_airport,Sindeni Airstrip,-7.0077,145.7965,5710,PG,Sindeni,AYDY,
AYEA,small_airport,Kerau Airport,-8.271612,147.071899,7360,PG,Gunim,AYEA,KRU
AYEB,small_airport,Embessa Airport,-9.447,148.7628,131,PG,Embessa,AYEB,EMS
AYED,small_airport,Edwaki Airport,-3.883986,141.792234,190,PG,Yellow River Mission,AYED,XYR
AYEE,small_airport,Emirau Airport,-1.653949991,149.9757667,172,PG,Emirau Island,AYEE,EMI
AYEF,small_airport,Efogi Airport,-9.15380555556,147.659805556,3900,PG,Efogi,AYEF,EFG
AYEG,small_airport,Mengina Airstrip,-6.4836,144.986,4224,PG,Mengina,AYEG,
AYEH,small_airport,Morehead Airport,-8.71411111111,141.644444444,100,PG,Morehead,AYEH,MHY
AYEI,small_airport,Milei Airstrip,-9.0794,147.602,2160,PG,Milei,AYEI,
AYEK,small_airport,Membok Airstrip,-6.4744,141.019,54,PG,Membok,AYEK,
AYEL,small_airport,Eliptamin Airport,-5.0412,141.6779,4825,PG,Eliptamin,AYEL,EPT
AYEM,small_airport,Eleme Airstrip,-4.814027,143.910637,233,PG,Eleme,AYEM,
AYEN,small_airport,Engati Airstrip,-6.9179,146.1053,3715,PG,Engati,AYEN,EGA
AYEO,small_airport,Emo River Airstrip,-9.1234,148.0415,2240,PG,Emo Mission,AYEO,EMO
AYER,small_airport,Erume Airport,-8.2538,146.9747,6690,PG,Erume,AYER,ERU
AYES,small_airport,Meselia Airport,-6.1364,149.1183,180,PG,Demgulu,AYES,MFZ
AYET,small_airport,Bosset Airport,-7.237257,141.1063222,80,PG,Bosset,AYET,BOT
AYEU,small_airport,Eloaua Airstrip,-1.560258,149.630363,25,PG,Eloaua Island,AYEU,
AYEV,small_airport,Erave Airport,-6.60646315446,143.900213242,3650,PG,Erave,AYEV,ERE
AYEW,small_airport,Siwea Airport,-6.284181,147.582371,5960,PG,Siwea,AYEW,SWE
AYFA,small_airport,Fane Airport,-8.54927777778,147.085833333,4500,PG,Fane Mission,AYFA,FNE
AYFF,small_airport,Faia Airport,-7.160353,143.531317,80,PG,,AYFF,
AYFI,small_airport,Finschhafen Airport,-6.621750109,147.85405,60,PG,Buki,AYFI,FIN
AYFR,small_airport,Frieda River Airport,-4.610468,141.960138,217,PG,Frieda River,AYFR,FAQ
AYFU,small_airport,Fuma Airport,-6.3933,142.4408,466,PG,Fuma,AYFU,FUM
AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,5282,PG,Goronka,AYGA,GKA
AYGC,small_airport,Gewoia Airport,-9.2263,148.4949,340,PG,Gewoia,AYGC,GEW
AYGF,small_airport,Guari Airport,-8.1286,146.8722,6450,PG,Guari,AYGF,GUG
AYGG,small_airport,Garasa Airport,-7.980713,147.213461,2539,PG,Au,AYGG,GRL
AYGI,small_airport,Garaina Airport,-7.875625,147.141266,2497,PG,Garaina,AYGI,GAR
AYGJ,small_airport,Guasopa Airport,-9.225918,152.944352,10,PG,Woodlark (Muyua) Island,AYGJ,GAZ
AYGL,small_airport,Gonaili Airport,-5.527716614,151.5733333,40,PG,Gonaili,AYGL,GOE
AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,88,PG,Gurney,AYGN,GUR
AYGP,small_airport,Gusap Airport,-6.053196,145.959047,1504,PG,Gusap,AYGP,GAP
AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311,PG,Popondetta,AYGR,PNP
AYGS,small_airport,Gasuke Airport,-6.1028,141.7393,157,PG,Gasuke,AYGS,GBC
AYGT,small_airport,Gasmata Island Airport,-6.27111005783,150.330993652,23,PG,Gasmata Island,AYGT,GMI
AYGU,small_airport,Anguganak Airport,-3.560504,142.217307,937,PG,Anguganak,AYGU,AKG
AYGV,small_airport,Green River Airport,-3.9022428989400004,141.170516968,281,PG,Green River,AYGV,GVI
AYGX,small_airport,Gora Airstrip,-9.0021,148.2364,2497,PG,Gora,AYGX,GOC
AYHB,small_airport,Habi Airport,-6.32,142.4893,993,PG,Habi,AYHB,HBD
AYHE,small_airport,Heiweni Airport,-7.4223,146.4276,3480,PG,Heiweni,AYHE,HNI
AYHF,small_airport,Hayfields Airport,-3.69838,143.057902,466,PG,Bainyik,AYHF,HYF
AYHH,small_airport,Honinabi Airport,-6.2457,142.1771,452,PG,Honinabi,AYHH,HNN
AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,66,PG,Kimbe,AYHK,HKN
AYHO,small_airport,Haivaro Airport,-6.9406,143.059,180,PG,Haivaro,AYHO,HIT
AYHU,small_airport,Hawabango Airport,-7.392994,146.003487,4563,PG,Hawabango,AYHU,HWA
AYIA,small_airport,Nissan Island Airport,-4.49972009659,154.225997925,52,PG,Nissan Island,AYIA,IIS
AYID,small_airport,Indagen Airport,-6.22663,147.244,5788,PG,Indagen,AYID,IDN
AYII,small_airport,Imane Airport,-6.7524,146.1072,3860,PG,Imane,AYII,IMN
AYIM,small_airport,Kungim Airport,-5.671,141.03,349,PG,Kungim,AYIM,KGM
AYIO,small_airport,Imonda Airport,-3.328,141.1573,990,PG,Imonda,AYIO,IMD
AYIQ,small_airport,Aropa Airport,-6.305727,155.728249,20,PG,Kieta,AYIQ,KIE
AYIW,small_airport,Wasua Airport,-8.2836,142.8697,45,PG,Wasua,AYIW,WSA
AYIX,small_airport,Witu Airport,-4.689522,149.440112,25,PG,Garove Island,AYIX,WIU
AYIY,small_airport,Miyanmin Airport,-4.903055555560001,141.620833333,2500,PG,Miyanmin,AYIY,MPX
AYJO,small_airport,Yongai Airport,-8.5289,147.4603,6500,PG,Yongai,AYJO,KGH
AYJS,small_airport,Josephstaal Airport,-4.74708333333,145.007083333,250,PG,Josephstaal,AYJS,JOP
AYKA,small_airport,Losuia Airport,-8.505820274353027,151.08099365234375,27,PG,Losuia,AYKA,LSA
AYKB,small_airport,Kabwum,-6.15547222222,147.191472222,4450,PG,,AYKB,KBM
AYKC,small_airport,Kandrian Airport,-6.19217,149.54783,280,PG,Kandrian,AYKC,KDR
AYKD,small_airport,Kamina Airport,-7.64925,145.956944444,2157,PG,Hoieti,AYKD,KMF
AYKG,small_airport,Kopiago Airport,-5.3883,142.4977,4445,PG,Kopiago,AYKG,KPA
AYKH,small_airport,Kamulai Airport,-8.150694444440001,146.834,5800,PG,Kamulai Mission,AYKH,KAQ
AYKI,small_airport,Kiunga Airport,-6.1257100105285645,141.28199768066406,88,PG,Kiunga,AYKI,UNG
AYKJ,small_airport,Kanainj Airport,-5.2903,144.7072,4064,PG,Kanainj,AYKJ,KNE
AYKK,small_airport,Kikori Airport,-7.42438,144.250076,50,PG,Kikori,AYKK,KRI
AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10,PG,Kerema,AYKM,KMA
AYKO,small_airport,Kokoda Airport,-8.884679,147.730957,1240,PG,Kokoda,AYKO,KKD
AYKQ,small_airport,Kagi Airport,-9.135916666670001,147.669444444,4200,PG,Kagi,AYKQ,KGW
AYKR,small_airport,Kar Kar Airport,-4.557,145.9404,130,PG,Kar Kar Island,AYKR,KRX
AYKT,small_airport,Kaintiba Airport,-7.50025,146.033833333,2050,PG,Kaintiba,AYKT,KZF
AYKU,small_airport,Kuri Airport,-7.135083,143.276111,35,PG,Kuri,AYKU,KUQ
AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7,PG,Kavieng,AYKV,KVG
AYKW,small_airport,Kawito Airport,-7.977006912229999,142.823577881,72,PG,Kawito,AYKW,KWO
AYKY,small_airport,Londolovit Airport,-3.04361009598,152.628997803,167,PG,Londolovit,AYKY,LNV
AYKZ,small_airport,Kairiru Airstrip,-3.368744,143.554225,60,PG,Kairiru Island,AYKZ,
AYLB,small_airport,Lab Lab Airport,-5.7204,148.0566,160,PG,Lab Lab Mission,AYLB,LAB
AYLG,small_airport,Keglsugl Airport,-5.83277777778,145.097222222,8400,PG,Denglagu Mission,AYLG,KEG
AYLI,small_airport,Kibuli Airstrip,-9.006528,142.698056,54,PG,Kibuli,AYLI,KII
AYLL,small_airport,Linga Linga Airport,-5.5319444444400006,149.734166667,17,PG,Linga Linga,AYLL,LGN
AYLN,small_airport,Langimar Airport,-7.22313888889,146.227083333,5127,PG,,AYLN,LNM
AYLO,small_airport,Lowai Airport,-6.3344,146.6458,2900,PG,Lowai,AYLO,LWI
AYLP,small_airport,Leron Plains Airport,-6.3917,146.3434,680,PG,Leron Plains,AYLP,LPN
AYLS,small_airport,Lese Airport,-8.2799,146.2765,40,PG,Lese,AYLS,LNG
AYLT,small_airport,Lengbati Airport,-6.384611111110001,147.368638889,5750,PG,,AYLT,LNC
AYLU,small_airport,Lumi Airport,-3.47683951134,142.041292191,1750,PG,Lumi,AYLU,LMI
AYLX,small_airport,Long Island Airport,-5.3604,147.0177,116,PG,Long Island,AYLX,LSJ
AYMA,small_airport,Manari Airport,-9.1908,147.6219,2630,PG,Manari,AYMA,MRM
AYMB,small_airport,Morobe Airport,-7.74,147.59,8,PG,Morobe,AYMB,OBM
AYMC,small_airport,Menyamya Airport,-7.21166666667,146.019361111,3880,PG,Menyamya,AYMC,MYX
AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20,PG,Madang,AYMD,MAG
AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.828212,144.299412,5388,PG,Mount Hagen,AYMH,HGU
AYMI,small_airport,Mindik Airport,-6.47166666667,147.441138889,4200,PG,Mindik,AYMI,MXK
AYMJ,small_airport,Makini Airport,-6.532222222220001,147.651166667,2530,PG,Makini,AYMJ,MPG
AYML,small_airport,Mougulu Airport,-6.280859,142.420775,825,PG,Mougulu,AYML,GUV
AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680,PG,Mendi,AYMN,MDU
AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12,PG,Manus Island,AYMO,MAS
AYMP,small_airport,Malalaua Airport,-8.07138888889,146.155472222,20,PG,Malalaua,AYMP,MLQ
AYMQ,small_airport,Malam Airport,-8.70916666667,142.649722222,126,PG,Malam,AYMQ,MQO
AYMR,small_airport,Moro Airport,-6.36332988739,143.238006592,2740,PG,Moro,AYMR,MXH
AYMS,small_airport,Misima Island Airport,-10.689200401299999,152.837997437,26,PG,Misima Island,AYMS,MIS
AYMV,small_airport,Malekolon Airport,-4.02343055556,153.657277778,5,PG,Babase Island,AYMV,MKN
AYMW,small_airport,Marawaka Airport,-6.9736,145.8849,6050,PG,Marawaka,AYMW,MWG
AYMZ,small_airport,Mapua(Mabua) Airport,-2.81138888889,151.991111111,40,PG,Tatau Island,AYMZ,MPU
AYNA,small_airport,Nankina Airport,-5.837,146.4533,5800,PG,Gwarawon,AYNA,NKN
AYNB,small_airport,Kanabea Airport,-7.538888888890001,145.905,4288,PG,Kanabea,AYNB,KEX
AYNC,small_airport,Nadunumu Airport,-9.14355555556,147.68425,5100,PG,Nadunumu,AYNC,NDN
AYND,small_airport,Aua Island Airport,-1.46055555556,143.064722222,4,PG,Aua Island,AYND,AUI
AYNE,small_airport,Negarbo(Negabo) Airport,-6.567778,144.703058,4500,PG,Negarbo,AYNE,GBF
AYNI,small_airport,Nuguria Airstrip,-3.4075,154.7383,30,PG,Nuguria Island,AYNI,NUG
AYNJ,small_airport,Namudi Airport,-9.47375,148.329416667,1044,PG,Namudi,AYNJ,NDI
AYNM,small_airport,Kasonombe Airport,-6.3819,146.9859,5800,PG,Kasonombe,AYNM,KSB
AYNN,small_airport,Kandep Airport,-5.84061111111,143.507222222,7710,PG,Kandep,AYNN,KDP
AYNO,small_airport,Nomane Airport,-6.32183,145.070667,6032,PG,Namane,AYNO,NMN
AYNS,small_airport,Bunsil Airport,-5.7243,147.8667,201,PG,Bunsil - Umboi Island,AYNS,BXZ
AYNU,small_airport,Nuku Airport,-3.676765,142.48492,870,PG,Nuku,AYNU,UKU
AYNX,small_airport,Namatanai Airport,-3.6695,152.438,150,PG,Namatanai,AYNX,ATN
AYNY,small_airport,Nambaiyufa Airport,-6.2412,145.2424,5550,PG,Nambaiyufa,AYNY,NBA
AYNZ,large_airport,Nadzab Tomodachi International Airport,-6.567995,146.726544,239,PG,Lae,AYNZ,LAE
AYOB,small_airport,Obo Airport,-7.590622421369999,141.324262619,29,PG,Obo,AYOB,OBX
AYOE,small_airport,Konge Airport,-6.2239,147.2152,5900,PG,Konge,AYOE,KGB
AYOF,small_airport,Okao Airport,-5.55666666667,141.032777778,450,PG,Okao,AYOF,OKV
AYOG,small_airport,Ogeranang Airport,-6.46675,147.364166667,5850,PG,,AYOG,OGE
AYOJ,small_airport,Oksapmin Airport,-5.2261,142.2259,5140,PG,Oksapmin,AYOJ,OKP
AYOK,small_airport,Komako Airport,-7.3984,145.8827,3960,PG,Komako,AYOK,HOC
AYOL,small_airport,Kol Airport,-5.73116666667,144.846,5350,PG,Kol,AYOL,KQL
AYOM,small_airport,Omora Airport,-7.82777777778,147.080638889,2540,PG,Omora,AYOM,OSE
AYOO,small_airport,Komo-Manda Airport,-6.0682,142.8598,5057,PG,Komo,AYOO,KOM
AYOP,small_airport,Kosipe Airport,-8.450716,147.209195,6350,PG,Kosipe Mission,AYOP,KSP
AYOQ,small_airport,Komaio Airport,-7.2714,143.5952,28,PG,Komaio,AYOQ,KCJ
AYOV,small_airport,Olsobip Airport,-5.3897222222200005,141.515277778,1500,PG,Olsobip,AYOV,OLQ
AYOW,small_airport,Koroba Airport,-5.6952,142.7441,5638,PG,Koroba,AYOW,KDE
AYPB,small_airport,Paiela Airport,-5.372407,142.975774,6100,PG,Paiela,AYPB,PLE
AYPC,small_airport,Pangoa Airport,-7.0226,141.5605,60,PG,Pangoa,AYPC,PGB
AYPD,small_airport,Pindiu Airport,-6.445138888890001,147.515833333,2995,PG,Pindiu,AYPD,PDI
AYPE,small_airport,April River Airport,-4.67666666667,142.540138889,220,PG,April River,AYPE,APR
AYPG,small_airport,Pangia Airport,-6.386,144.1084,5340,PG,Pangia,AYPG,PGN
AYPJ,small_airport,Pimaga Airport,-6.49916666667,143.510277778,2745,PG,Pimaga,AYPJ,PMP
AYPO,small_airport,Mapoda Airport,-7.979,143.1694,45,PG,Mapoda,AYPO,MPF
AYPQ,small_airport,Pumani Airport,-9.7469,149.4766,427,PG,Pumani,AYPQ,PMN
AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,146,PG,Port Moresby,AYPY,POM
AYQA,small_airport,Karawari Airstrip,-4.59666666667,143.5225,70,PG,Amboin,AYQA,KRJ
AYQL,small_airport,Tumolbil Airport,-4.7748,141.0133,3590,PG,Tumolbil,AYQL,TLP
AYQO,small_airport,Sopu Airport,-8.3038,147.1659,6580,PG,Sopu,AYQO,SPH
AYQQ,small_airport,Ononge Airport,-8.67436111111,147.262416667,5800,PG,Onange Mission,AYQQ,ONB
AYQS,small_airport,Sialum Airport,-6.0908,147.5955,170,PG,Sialum,AYQS,SXA
AYRA,small_airport,Kira Airport,-8.065111111110001,147.332027778,1700,PG,Kira,AYRA,KIQ
AYRE,small_airport,Raba Raba Airport,-9.97111111111,149.832222222,170,PG,Rabaraba,AYRE,RBP
