ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,icao_code,iata_code
UKLL,large_airport,Lviv International Airport,49.8125,23.9561,1071,UA,Lviv,UKLL,LWO
UKLN,medium_airport,Chernivtsi International Airport,48.259300231933594,25.98080062866211,826,UA,Chernivtsi,UKLN,CWC
UKLR,medium_airport,Rivne International Airport,50.60710144042969,26.141599655151367,755,UA,Rivne,UKLR,RWN
UKLT,small_airport,Ternopil International Airport,49.5242,25.7001,1072,UA,Ternopil,UKLT,TNL
UKLU,large_airport,Uzhhorod International Airport,48.6343,22.263399,383,UA,Uzhhorod,UKLU,UDJ
UKOH,medium_airport,Kherson International Airport,46.6758,32.506401,148,UA,Kherson,UKOH,KHE
UKOO,large_airport,Odesa International Airport,46.427196,30.672649,172,UA,Odesa,UKOO,ODS
UKWW,medium_airport,Vinnytsia/Gavyryshivka International Airport,49.242531,28.613778,961,UA,Vinnitsa,UKWW,VIN
ULAA,medium_airport,Talagi Airport,64.60030364990234,40.71670150756836,62,RU,Archangelsk,ULAA,ARH
ULAL,small_airport,Leshukonskoye Airport,64.896004,45.723,220,RU,Leshukonskoye,ULAL,LDG
ULAM,medium_airport,Naryan Mar Airport,67.639999,53.121899,36,RU,Naryan Mar,ULAM,NNM
ULDD,medium_airport,Amderma Airport,69.76329803466797,61.556400299072266,13,RU,Amderma,ULDD,AMV
ULDW,small_airport,Varandey Airport,68.848503,58.201401,23,RU,Varandey,ULDW,VRI
ULER,small_airport,Kharuta Airport,66.846122,59.539305,165,RU,Kharuta,ULER,
ULKK,medium_airport,Kotlas Airport,61.235801696777344,46.6974983215332,184,RU,Kotlas,ULKK,KSZ
ULLI,large_airport,Pulkovo Airport,59.800301,30.262501,78,RU,St. Petersburg,ULLI,LED
ULMM,large_airport,Emperor Nicholas II Murmansk Airport,68.7817,32.750801,266,RU,Murmansk,ULMM,MMK
ULOO,medium_airport,Princess Olga Pskov International Airport,57.781316,28.39384,154,RU,Pskov,ULOO,PKV
ULPB,medium_airport,Petrozavodsk Airport,61.885201,34.154701,151,RU,Petrozavodsk,ULPB,PES
